Id,ACC_Graduated_Status__c,SoldDate__c,AOV_Band__c
0013000001FoTQ3AAN,,12/21/13,$10k-50k
0013000001FZoamAAD,,2/15/14,$10k-50k
0013000001FiqBhAAJ,,1/15/14,$10k-50k
0013000001FiqD4AAJ,Failed,12/23/13,$50k-100k
0013000001FoRigAAF,,1/16/14,$10k-50k
0013000001FinCFAAZ,,1/31/14,$10k-50k
0013000001FimNWAAZ,,1/31/14,$10k-50k
0013000001FoSnzAAF,,1/13/14,$10k-50k
0013000001FoSw3AAF,,12/21/13,$10k-50k
0013000001Fip91AAB,,2/21/14,$10k-50k
0013000001FoRFlAAN,,12/18/13,$100k-200k
0013000001FoTkhAAF,,1/1/14,$10k-50k
0013000001FoRi7AAF,,2/15/14,$10k-50k
0013000001FivAQAAZ,,2/15/14,$10k-50k
0013000001FivIUAAZ,,2/15/14,$10k-50k
0013000001FislSAAR,,12/30/13,$10k-50k
0013000001FivCHAAZ,,2/18/14,$50k-100k
0013000001FitG1AAJ,,1/31/14,$10k-50k
0013000001FitEyAAJ,,2/15/14,$50k-100k
0013000001Fiux7AAB,,2/13/14,$10k-50k
0013000001FivAVAAZ,,1/3/14,$10k-50k
0013000001Fis3LAAR,,1/2/14,$10k-50k
0013000001Fiv5fAAB,,2/15/14,$10k-50k
0013000001Fit1fAAB,,1/2/14,$10k-50k
0013000001FixShAAJ,,1/23/14,$10k-50k
0013000001Fj2CNAAZ,,1/14/14,$10k-50k
0013000001Fj3EsAAJ,,1/31/14,$10k-50k
0013000001Fb9GDAAZ,,1/13/14,$10k-50k
0013000001FbIJxAAN,,2/14/14,$10k-50k
0013000001Fb234AAB,,2/14/14,$10k-50k
0013000001Fj79AAAR,,1/20/14,$10k-50k
0013000001Fb1wmAAB,,2/3/14,$10k-50k
0013000000rnXC5AAM,Failed,11/14/13,$10k-50k
0013000000rnXWdAAM,Failed,11/14/13,$10k-50k
00130000016iKhkAAE,,1/15/14,$100k-200k
00130000016iGkiAAE,,1/13/14,$10k-50k
00130000016iKSBAA2,Failed,10/30/13,$50k-100k
00130000016iQejAAE,Failed,12/22/13,$100k-200k
00130000016iPg0AAE,Failed,11/15/13,$10k-50k
0013000001FbZ4CAAV,,1/27/14,$10k-50k
0013000001FbZSEAA3,,2/10/14,$10k-50k
0013000001FbaMnAAJ,,2/15/14,$10k-50k
0013000001FjE5sAAF,,1/17/14,$10k-50k
0013000001FjRzkAAF,,1/31/14,$10k-50k
0013000001FjCu3AAF,,1/21/14,$10k-50k
0013000001FbbMFAAZ,,2/14/14,$10k-50k
0013000001FbbV2AAJ,,2/14/14,$10k-50k
0013000001FjPacAAF,,1/23/14,$10k-50k
0013000001FjQ3MAAV,,1/31/14,$10k-50k
0013000001FbbB7AAJ,,2/14/14,$10k-50k
0013000001GDpp8AAD,,1/27/14,$10k-50k
0013000001GDnlVAAT,,1/28/14,$10k-50k
0013000001Fji0VAAR,,2/15/14,$10k-50k
0013000001FbdazAAB,,1/29/14,$10k-50k
0013000001GDnQwAAL,,1/27/14,$10k-50k
0013000001FbePiAAJ,,1/31/14,$10k-50k
0013000001GDnKoAAL,,1/24/14,$100k-200k
0013000001FjXDpAAN,,2/10/14,$10k-50k
0013000001GDt30AAD,,2/14/14,$10k-50k
0013000001FjVb5AAF,,1/23/14,$10k-50k
0013000001FjUolAAF,,1/31/14,$10k-50k
0013000001FjVI5AAN,,2/10/14,$10k-50k
0013000001FjV4KAAV,,1/23/14,$10k-50k
0013000001FjUrQAAV,,2/3/14,$100k-200k
